식품코드,식품명,식품대분류코드,식품중량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg)
3010220000000001,쌀밥,1,210,300,65.15,5.71,1,0,0.8,5
7010060000000001,기장밥,1,210,355,78.21,6.54,0.6,0,0.1,97
7010160000000001,보리밥,1,210,315,69.06,6.55,0.73,0.1,2.2,5
7010210000000001,수수밥,1,125,210,36.27,3.46,1.06,0.15,2,171
3010250000000001,연잎밥,1,200,323,66.62,9.2,2.15,4.94,4.8,585
3010270000000001,오곡밥,1,125,184,40.25,3.71,0.53,0.13,1.7,178
7010380000000001,차조밥,1,210,357,77.52,6.8,1.19,0,1,5
6010524700000001,흑미밥(찹쌀),1,125,196,42.2,3.87,0.95,0,1,3
3010150000000001,묵밥,1,400,271,48.63,8.45,4.39,1.63,1.9,284
3010020000000001,곤드레나물밥,1,210,336,69,6,0.91,0,5.06,286
7010503300000001,현미밥,1,125,191,41.04,3.75,0.73,0,1,3
7010520000000001,흑미밥,1,125,196,42.2,3.87,0.95,0,1,3
6010210000000001,수수밥,1,125,210,45.34,4.32,1.32,0.19,2.5,214
6010300000000001,율무밥,1,60,215,47.3,5.11,0.55,0.28,5.1,4
1010390000000001,찰밥,1,210,321,68.78,6.49,1.47,0.09,2,934
3010091700000001,누룽지,1,60,230,50.57,4.39,0.31,0,1.3,130
3010050000000001,귀리밥,1,210,285,63,6,1,0,3,0
1010480200000001,검정콩밥,1,200,252,53.75,5.98,0.78,0.19,3,2
1010484000000001,완두콩밥,1,210,325,69.68,6.38,1.41,0.76,0.7,639
1010320000000001,잡곡밥,1,125,203,43.86,5.26,1.18,0.06,2.3,25
6010473500000001,콩나물밥,1,300,396,71.94,14.35,6.81,6.24,8.6,1743
5010260000000001,돌솥밥,1,300,421,73.88,9.61,8.84,3.85,1.3,455
5010033500000001,곤드레밥,1,210,360,81.02,6.75,1.5,0,2.9,445
1010230000000001,알밥,1,400,392,65.21,20.77,6.16,1.74,3.4,395
3010340000000001,잡탕밥,1,400,518,61.45,28.39,18.65,5.2,6.1,1494
7010360000000001,짜장밥,1,370,495,85.86,10.99,10.08,3.8,5.1,942
1010330000000001,잡채밥,1,400,673,114.95,16.3,17.46,5.12,6.3,1364
1010370000000001,짬뽕밥,1,300,482,86.18,17.37,6.99,1.87,1.9,923
3010420500000001,광어초밥,1,28,46,9.03,1.85,0.14,1.89,0.2,177
3010421000000001,연어초밥 ,1,27,48,9,1.85,0.36,1.92,0.2,184
3010422000000001,모듬초밥,1,300,462,76.44,25.41,6.06,8.64,2.4,969
3010422200000001,문어초밥,1,26,40.82,8.51,1.92,0.08,1.91,0.21,185.64
3010422600000001,새우초밥,1,29,46,9.07,1.79,0.16,1.89,0.2,180
1000000001,계란초밥,1,26,32,3.34,1.49,1.33,0.78,0.1,76
1000000002,참치초밥,1,27,46,9.16,1.94,0.12,1.9,0.2,181
1000000003,소고기초밥,1,28,49,9,1.8,0.51,1.92,0.2,184
1000000004,오징어초밥,1,30,48,8.01,2.03,0.75,0.97,0.1,103
3010424100000001,유부초밥,1,50,90,12.18,3.55,3.21,0.57,0.9,124
3010424400000001,장어초밥,1,27,46,9.03,1.74,0.21,1.89,0.2,48
3010425300000001,한치초밥,1,28,42,8.73,1.53,0.1,1.47,0.17,134.4
3010183400000001,약초비빔밥,1,400,512,80.2,11.92,15.92,2.92,10.8,972
7010183735000001,열무비빔밥 ,1,300,395,76.77,11.31,3.85,3.36,1.8,278
7010184535000001,참치비빔밥,1,400,583,81.06,29.93,13.81,5.37,2.4,549
6010182835000001,소고기비빔밥,1,330,490,76,15,14,5,14,973.5
1000000005,불고기비빔밥,1,402,520,87,19,10,10,10,830
4010113500000001,돌솥비빔밥,1,300,472,65.9,16.27,14.9,4.45,2,410
3010180000000001,꼬막비빔밥,1,400,564,84.2,28.06,11.28,5.43,2.4,760
3010180000000002,비빔밥,1,400,586,89.78,22.05,13.99,6.02,2.7,595
3010181800000001,멍게비빔밥,1,400,543,81.79,22.87,12.48,5.19,2.3,546
1010184300000001,육회비빔밥,1,400,531,72.96,27.52,13.07,6.63,2.7,361
3010190400000001,고추장불고기 삼각김밥,1,157,239,45,7,3.4,3,1.3,487
3010193200000001,숯불갈비 삼각김밥 ,1,105,185,38,4,2,1,1.3,228
3010194600000001,참치마요네즈 삼각김밥,1,120,174,32,4,3.5,4,1.2,347
3010430000000001,충무김밥,1,300,526,115.76,9.77,0.97,14.4,1.8,440
3010074500000002,참치김밥 ,1,300,496,78.71,26.92,6.39,10.16,1.5,257
1010070700000001,김치김밥,1,300,413,79.58,8.41,5.78,1.89,2.3,343
1010071200000001,돈가스김밥,1,300,526,91.34,14.73,9.73,11.79,1.8,280
1010072800000001,소고기김밥,1,300,477,91.64,14.42,4.43,11.82,2,280
1010074900000001,치즈김밥,1,300,545,91.76,15.82,11.46,11.95,1.8,457
1010075200000001,고추김밥,1,290,490.1,79.81,14.15,12.79,1.9,1.6,368
1010070000000001,김밥,1,300,485,73.5,12.2,15.3,0,1.5,240
3010200000000001,새우튀김롤,1,231,498,64,11,22,11.13,7.5,1392
3010240000000001,연어롤,1,300,476,51,16,12.79,13,9,1121
3010450000000001,캘리포니아 롤,1,125,158,30.34,6.62,0.58,6.24,1.2,278
6010172315000001,김치돼지고기 볶음밥,1,300,339,58.38,12.15,5.49,3.06,3.3,495
4010172342000001,김치참치 볶음밥,1,250,385,60,12,11,6.64,3.65,960
4010172600000001,새우볶음밥 ,1,149,241,31.51,8.24,8.73,1.13,1,696
1000000006,야채볶음밥,1,300,429,61.22,11.82,14.84,3.03,2.8,1149
4010174500000001,참치볶음밥,1,230,412.97,75.68,10.63,7.52,0.27,3.7,671
4010175500000001,해물볶음밥,1,300,508,68.23,16.34,18.07,1.67,2,751
3010170000000002,볶음밥,1,149,250,31.38,9.39,9.28,1.13,1,618
3010170700000002,김치볶음밥,1,300,446,75.09,8.75,12.37,2.46,3.9,844
3010172500000001,삼선볶음밥 ,1,200,291,37.19,10.19,10.88,1.31,1.2,620
1010175100000001,표고버섯볶음밥,1,300,552,95.37,10.08,14.43,0,7.8,897
1010170300000001,계란볶음밥,1,300,493,53.28,15.24,23.65,1.83,1.5,815
1010172800000001,소고기볶음밥,1,300,553,67.66,19.37,21.87,1.67,2,711
3010351900000001,멸치주먹밥,1,110,208,36.59,6.07,3.74,0.46,1.6,487
4010352300000001,김치주먹밥,1,110,192,37.21,3.6,2.94,0.6,1.8,158
4010354500000001,참치주먹밥,1,110,198,36.59,5.56,2.93,0.46,1.6,151
1010352800000001,소불고기주먹밥,1,100,200,39,5,2.5,3,3,650
1000000007,불고기주먹밥,1,100,180,33,5,3,2,1.2,385
6010120000000001,돼지고기덮밥,1,395,598,100,27,10,24,3.45,880
4010293500000001,우럭회덮밥,1,400,268,45.88,13.96,3.04,6.2,3.2,256
4010413500000001,참치회덮밥,1,400,304,48.56,18.92,3.24,6.6,2.8,352
4010083500000001,광어회덮밥,1,400,308,50.56,17.08,4.24,7.68,3.2,340
3010510000000001,회덮밥,1,400,465,53.36,40.45,10.12,7.99,5.2,1160
3010104200000001,유산슬 덮밥,1,420,486,93,15,6,3,7.45,1037
3010104400000001,장어덮밥,1,400,626,75.16,33.98,20.93,8.45,6.1,1225
3010104500000001,참치덮밥,1,500,679,102.95,29.2,16.75,3,8,1620
3010105500000001,해물덮밥,1,400,561,93.63,29.93,6.84,10.98,2.5,632
3010010000000001,계란덮밥,1,200,277,18.76,15.98,14.71,1.39,1,376
1010512000000001,모듬회덮밥,1,410,594.5,72.82,37.31,17.02,12.59,4.92,635.5
1010100800000001,낙지덮밥,1,300,403,64.35,26.63,4.69,8.28,5.3,1128
1010101100000001,닭고기덮밥,1,392,701,101,27,21,7,4.51,1273
1010101500000001,제육덮밥,1,500,779,115.13,29.85,21.41,13.81,3.2,544
1010102400000001,불고기덮밥,1,300,440,48.77,28.64,12.74,3.74,1.8,304
1010103900000001,오징어덮밥,1,500,667,108.16,31.09,13.23,13.46,8.6,1659
1000000008,소고기덮밥,1,300,440,61.44,25.07,10.8,8.28,5.3,866
4010460000000001,콩나물국밥,1,500,445,90.3,10.58,4.38,3.17,3.7,1221
1000000009,수육국밥,1,300,498,66.05,29.35,11.68,2.43,1.3,832
1000000010,소머리국밥,1,300,487,65.21,21.93,14.78,2.03,4.2,734
3010040600000001,굴국밥,1,300,433,74.32,19.59,5.49,2.5,1.3,801
3010041400000001,돼지국밥,1,300,307,23.46,27.58,10.41,0.62,1.5,1131
3010042800000001,소고기국밥,1,300,285,33.77,17.27,8.68,1.61,3,805
1010043100000001,순대국밥,1,300,360,42.61,23.09,9.96,0.47,0.8,1951
1010041600000001,돼지머리국밥,1,300,411,47.86,20.1,15.48,0.48,2.1,543
4010280000000001,오므라이스,1,400,380,46.8,14.77,14.75,5.77,2.8,553
1010440000000001,카레라이스,1,400,544,71.72,34.54,14.91,3.33,11.9,600
1010490000000001,하이라이스,1,200,318,49.14,10.26,9.49,1.82,4.8,336
3010130000000001,리조또,1,160,311,36.05,13.08,12.08,4.8,0.5,580
1000000011,치즈 리조또,1,153,267,33.19,10.52,9.84,5.23,0.5,611
3021290000000001,매작과,2,30,123.9,19.83,2.25,3.94,4.93,0.84,29.7
3021320000000001,산자,2,30,109.8,24.65,0.69,0.93,9.4,0.15,6.9
3020620000000001,메밀전병,2,100,168,21.62,6.18,6.29,0.62,3.5,346
2021250000000001,호떡,2,110,344,63.76,6,7.74,4,0,217
3020690000000001,약식,2,100,220,45.43,4.44,2.32,10.21,1.5,233
3021340000000001,약과,2,30,119.7,25.47,1.26,1.43,5.07,1.59,17.1
3021360000000001,유과,2,30,127.2,22.27,0.84,3.85,7.24,0.33,6.9
3021012700000001,앙버터빵,2,100,372,41.64,7,19.72,16.29,4.1,221
3021161300000001,델리만쥬,2,70,222.6,46.8,5.13,1.64,22.45,3.43,118.3
3021180000000001,페이스트리,2,70,319.9,32.52,5.99,18.4,5.75,2.1,296.1
3020810000000001,다쿠아즈,2,100,447,43.39,8.33,26.65,38.13,3,51
3020930000000001,버터크림빵,2,60,229.8,27.74,4.91,11.05,7.19,1.56,191.4
3020970000000001,소보로빵,2,70,277.2,42.15,6.31,9.27,11.73,2.87,202.3
2020970000000002,단팥소보로빵,2,112,390,9,10,1.2,9,0,350
3021003800000001,통밀식빵,2,100,279,48.64,9.33,5.26,4.49,5,660
2021410000000005,앙버터 소금빵,2,80,300.8,38.1,6.1,14.3,7.1,0,228
2021210000000005,피자빵,2,100,260,31,5,14,5,0,460
2021080000000032,크림치즈호두빵,2,91,285,17,8,20,7,0,250
2021010000000001,고구마앙금빵,2,95,240.35,12,5,3.5,12,0,190
2021010000000006,완두앙금빵,2,84,245,16,6,2.2,16,0,190
2021170000000016,호두단팥빵,2,115,300.15,52,8,7,19,0,200.1
2021170000000018,단팥소보로빵,2,112,390,9,10,1.2,9,0,350
2021130000000043,카페모카크림빵,2,150,589.5,31,10,17,31.01,0,400.5
2021130000000008,흑임자크림빵,2,100,167,33,7,3.1,4,11,28
2021130000000009,땅콩크림빵,2,68,270,32,5,14,11,0,220
2020920000000006,소금빵,2,65,207,30,6,7,4,0,270
2020850000000002,프렌치마늘빵,2,21,74.97,11,1,2.5,3,0,90.09
2020840000000001,크림치즈시나몬롤빵,2,85,274,40,6,10,20,0,320.15
2020840000000002,시나몬롤빵,2,140,481,63,10,21,22,0,423
2020840000000003,녹차 도쿄롤빵,2,100,330,23.2,5.9,23.7,16,0,109
2020840000000012,우유 생크림롤빵,2,160,489.6,42,9.01,32,27.01,0,160
2020760000000002,건포도빵,2,100,274,52.3,7.9,4.4,6.4,4.3,390
1021050000000001,초코소라빵,2,70,223.3,36.23,2.3,7.65,6.5,1.47,150.5
3021103300000001,치즈케이크,2,100,329,28.64,7.23,20.63,15.28,1.2,201
2021100000000125,쿠키앤크림 케이크,2,170,560,73,7,27,44,0,170
2021100000000126,모카 케이크,2,80,384,33.55,3.43,26.55,4.74,0.6,221
2021100000000127,몽쉘 케이크,2,105,374,40,4,20,24,0,136
2021100000000108,생크림 케이크,2,69,174,29.6,1.66,5.86,24.92,1,99
2021100000000117,마카롱 케이크,2,100,213,31.1,2.9,8.6,27.4,0,49.725
2021100000000121,딸기 롤케이크,2,70,201,35,4,5,24,0,45
2021100000000122,롤케이크,2,80,244,36.56,4.23,8.96,21.05,0.6,93
2021100000000123,초코 롤케이크,2,86,278,43,4,10,26,0,140
2021100000000086,티라미수 케이크,2,75,220,20,3,14,17,0,35
2021100000000097,레드벨벳 케이크,2,153,425,33,4,14,33,0,170
2021100000000082,블루베리요거트생크림 케이크,2,100,290,15,4,3,15,0,70
2021100000000064,딸기생크림 케이크,2,117,305,27,4,8,27,0,95
2021100000000032,뉴욕치즈 케이크,2,125,313,13,6,6.3,13,0,150
2021100000000033,초코 케이크,2,70,265,35,4,11,21,0,240
2021100000000014,고구마 케이크,2,70,220,44,2,4,9,0,50
2021120000000018,야채 고로케,2,77,155,9,5,11,4,0,290
2021120000000022,잡채 고로케,2,120,330,7,7,3.2,7,0,560
2021120000000027,피자 고로케,2,105,260,8,8,3.2,6,0,670
2021120000000002,감자 고로케,2,130,419,38.63,8.15,25.81,3.98,2.5,440
2021120000000004,고구마 고로케,2,75,258.75,40,3,10,17,0,164.25
3021220000000001,핫도그,2,100,247,18.4,10.6,14.84,3,2,671
3021220100000001,감자핫도그,2,140,419,31.96,9.5,27.93,4.65,2.5,729
3021221600000001,모짜렐라핫도그,2,80,230,31,7,9,8,2,320
2021220000000013,치즈핫도그,2,120,370.8,25.78,14.75,22.6,3.67,1.4,808
3020740000000001,찹쌀떡,2,100,277,65.61,3.26,0.15,17.54,1.4,226
3020743900000001,팥찹쌀떡,2,100,266,57.66,4.09,2.14,24.35,2.1,191
3020600000000001,무지개떡,2,100,229,53.01,3.53,0.31,8.99,0.2,277
3020660000000001,수수팥떡,2,100,204,43.03,6.7,0.59,2.82,8.6,242
3020670000000001,시루떡,2,100,217,47.54,5.47,0.61,3.22,4.4,278
3020670500000001,녹두시루떡,2,100,246,48.08,7.74,2.53,4.05,4.9,264
3020680000000001,쑥떡,2,100,249,57.89,3.36,0.4,10.72,2.4,254
3020730000000001,찰시루떡,2,100,181,37.63,6.63,0.41,1.22,1.4,182
3020530000000001,가래떡,2,100,210,46.11,4,1.08,0.06,0.7,250
3020534400000001,흑미가래떡,2,100,205,47.8,3.5,0.8,0,0,226
